OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
435003,33047310,,DEFAULT,,,wildcade,77,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 2:49:49 PM,,,,,,,,,SACC,,,,,,SMR CPT 321 Rx 0115,,RX,FI,30.067961,-84.423197,,,{BD40B9A7-1976-41D1-B2B7-E5B2125E8300},,0,,,0,,,,1,000118,wildcade,,,,Wakulla,FLFIC,12129,FWS,FLSMR,,USFWS,Federal,,,,,,,SA47,FWS,FLSMR,US-FL,,,,,,2025-FLSMR-000118,No Decision,,,,1/15/2025 2:50:24 PM,1/15/2025 10:04:37 PM,0,,,{268215BF-1D4D-40F9-87A4-03611E8D3B41},511b4c94-1ea4-48d2-9831-703e0fd7ce5e,,-84.423197,30.067961
435007,33047314,,DEFAULT,,,wildcade,,,MNMNCC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:09:30 PM,,,,,,,,,EACC,,,,,,Johnson Tract Piles RX,,RX,FI,46.2533,-96.0701,,,{3989E3DD-6C34-4225-8CA8-594BF5F169AF},,0,,,0,,,,1,000043,wildcade,,,,Otter Tail,MNMNCC,27111,FWS,MNFFR,,USFWS,Federal,,,,,,,EA02,FWS,MNFFR,US-MN,,,,,,2025-MNFFR-000043,No Decision,,,,1/15/2025 3:10:07 PM,1/15/2025 3:10:07 PM,0,,,{2DF56B46-29AA-4973-82A2-A82462C755D1},def57c84-200f-4e6e-977d-88bbce3bdfe4,,-96.0701,46.2533
435008,33047315,,DEFAULT,1/15/2025 9:00:00 PM,,wildcade,244,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:14:48 PM,,,,,,,,,SACC,,,,,,SEA Oil Pump Pasture 1 Rx 0115,,RX,FI,26.255933,-80.849483,,,{C4EADED0-1698-4FF0-8495-B374F65B91BD},,0,,,0,,,,1,000119,wildcade,,,,Broward,FLFIC,12011,,FLMIA,,Tribal,Other,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2025-FLSEA-000119,No Decision,,,,1/15/2025 3:16:08 PM,1/15/2025 9:09:10 PM,0,,,{1058E192-C97F-4A89-A72A-13EC63DCDB12},747273c2-f93e-4c8f-94d3-de56e204b1c7,,-80.849483,26.255933
435009,33047316,,DEFAULT,,,IROC,,,NVEIC,,,,,,,,,,,,,,,1/15/2025 3:19:00 PM,,,,,,,,,GBCC,,,,,,West Side-Lower RX,,RX,FI,,,,,{35D10C0C-98B8-48A9-9527-4E64CE5BDF64},,0,,,0,,,,1,000001,IROC,,,,Elko,NVEIC,32007,BLM,NVEKD,,BLM,Federal,,,,,,,GB19,BLM,NVEKD,US-NV,,,,,,2025-NVEKD-000001,No Decision,,,,1/15/2025 3:27:49 PM,1/15/2025 3:27:49 PM,0,,,{1C065F74-8968-4C64-B847-F1842D25710E},1d4029f1-c5b7-4dcd-9c2e-45502f284367,,-114.866667,40.516667
435183,33047489,,DEFAULT,,,firesponse,60,60,TXTIC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:19:00 PM,Type 5 Incident,,,,,,,,SACC,,,,,,RX Williamson 0151,,RX,FI,30.69158679,-97.32729927,,,{B8987DCD-52B1-4516-A10D-004BA9A8C36B},,0,,,0,,,0,1,250151,firesponse,0,,,Williamson,TXTIC,48491,,,,DOD,Federal,,,,,,,SA11,SFS,TXTXS,US-TX,,,,,,2025-TXTXS-250151,No Decision,,,,1/16/2025 4:58:31 PM,1/16/2025 4:58:31 PM,0,,,{CA6F79FB-2B4E-49BE-94E1-FC592946E2C6},ec579949-3ee2-493c-a7cb-ac6d73b6daab,Type 5 Incident,-97.32729927,30.6915868
435016,33047323,,DEFAULT,,,wildcade,174,,COPBC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:19:11 PM,,,,,,,,,RMCC,,,,,,Sunshine Piles RX,,RX,FI,37.9862,-106.54765,,,{A0F3EBFE-E026-49A1-B893-09CB059B4767},,0,,,0,,,,1,000024,wildcade,,,,Saguache,COPBC,08109,USFS,CORGF,,USFS,Federal,,,,,,,RM20,USFS,CORGF,US-CO,,,,,,2025-CORGF-000024,No Decision,,,,1/15/2025 3:53:57 PM,1/15/2025 7:03:47 PM,0,,,{DABA4DEC-BF46-4D3B-B6A7-EAD05B50FF31},03cfbdc1-3907-4126-943c-147868c6b0bf,,-106.54765,37.9862
435015,33047320,,DEFAULT,,,wildcade,,,AZPDC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:19:35 PM,,,,,,,,,SWCC,,,,,,Topock RX,,RX,FI,34.71998,-114.482147,,,{4507C03C-40E1-4DE8-8AB9-188F2A5F4D53},,0,,,0,,,,1,000061,wildcade,,,,Mohave,AZPDC,04015,FWS,AZHVR,,USFWS,Federal,,,,,,,SW02,FWS,AZHVR,US-AZ,,,,,,2025-AZHVR-000061,No Decision,,,,1/15/2025 3:47:03 PM,1/15/2025 3:47:03 PM,0,,,{214D6385-D38C-4231-AF7B-6820C2F7D246},8f5dfce2-f26d-48f2-877c-8ff47bf628a2,,-114.482147,34.71998
435010,33047317,,DEFAULT,,,wildcade,15,15,MNMNCC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:38:00 PM,,,,,,,,,EACC,,,,,,Rice Lake Piles RX,,RX,FI,46.512733,-93.324289,,,{C951E1A8-3760-4A90-AE8D-E1DD337B2AF3},,0,,,0,,,,1,000045,wildcade,,,,Aitkin,MNMNCC,27001,FWS,MNRLR,,USFWS,Federal,,,,,,,EA03,FWS,MNRLR,US-MN,,,,,,2025-MNRLR-000045,No Decision,,,,1/15/2025 3:38:51 PM,1/16/2025 3:28:35 PM,0,,,{59027D5D-F90C-4B40-911A-21E65F17EB0A},fc1ce764-42db-4df7-a09c-9353676a8b49,,-93.324289,46.512733
435013,33047321,,DEFAULT,,,wildcade,,,MTMCC,,,,,,,,,,Undetermined,,,,,1/15/2025 3:44:24 PM,,,,,,,,,NRCC,,,,,,Mill Iron Piles RX,,RX,FI,45.801403,-104.146878,,,{2B2411CD-A0CB-4E7E-8955-ECD73AE73E7F},,0,,,0,,,,1,000011,wildcade,,,,Carter,MTMCC,30011,BLM,MTMCD,,BLM,Federal,,,,,,,NR16,BLM,MTMCD,US-MT,,,,,,2025-MTMCD-000011,No Decision,,,,1/15/2025 3:47:52 PM,1/15/2025 3:47:52 PM,0,,,{23A53EAB-79EA-40B8-BAC4-27C461D8852C},b0a0e8af-6f93-4eac-9bad-c2861fc31721,,-104.146878,45.801403
435042,33047349,,DEFAULT,,,wildcade,,,MTBDC,,,,,,,,,,Undetermined,,,,,1/15/2025 4:00:00 PM,,,,,,,,,NRCC,,,,,,Moser Creek Piles RX,,RX,FI,45.54745,-111.01011,,,{F8ADFCFD-2C99-4862-84EB-7A5859EB3510},,0,,,0,,,,1,250015,wildcade,,,,Sweet Grass,MTBDC,30097,USFS,MTCGF,,USFS,Federal,,,,,,,NR12,USFS,MTCGF,US-MT,,,,,,2025-MTCGF-250015,No Decision,,,,1/15/2025 6:53:24 PM,1/16/2025 4:17:59 PM,0,,,{CE67FBED-EDBF-4238-89D1-923D5DA33A29},cde9905f-cf01-4137-a560-055ebfb59d8e,,-110.122,45.5505
